,Dzielnica,Cena,Ulica,Powierzchnia
0,Prądnik Biały,440 000,Pachońskiego,"28,4"
1,Prądnik Biały,790 000,Pachońskiego,"71,5"
2,Prądnik Biały,493 337,Glogera,"35,6"
3,Prądnik Biały,995 444,Glogera,"74,4"
4,Prądnik Biały,398 330,Conrada 27,"26,5"
5,Prądnik Biały,1 253 380,Conrada 27,"86,4"
6,Prądnik Biały,500 000,Belwederczyków,"33,0"
7,Prądnik Biały,800 000,Belwederczyków,"54,2"
8,Zwierzyniec,837 135,Królowej Jadwigi 307,"52,7"
9,Zwierzyniec,1 716 000,Królowej Jadwigi 307,"118,3"
10,Bronowice,417 600,Głowackiego,"29,0"
11,Bronowice,1 112 500,Głowackiego,"63,0"
12,Prądnik Biały,663 810,Stawowa,"40,5"
13,Prądnik Biały,1 562 568,Stawowa,"73,7"
14,Zwierzyniec,1 163 005,Królowej Jadwigi 325,"71,2"
15,Zwierzyniec,1 607 856,Królowej Jadwigi 325,"98,0"
16,Bronowice,587 600,Zapolskiej,"28,3"
17,Bronowice,1 621 695,Zapolskiej,"75,5"
18,Prądnik Biały,845 658,Paszkowskiego,"85,4"
19,Prądnik Biały,880 704,Paszkowskiego,"89,0"
20,Prądnik Biały,723 000,Maciejkowa,"65,8"
21,Prądnik Biały,1 230 000,Maciejkowa,"128,2"
22,Prądnik Biały,890 639,Gryczana,"81,7"
23,Prądnik Biały,1 353 408,Gryczana,"141,0"
24,Prądnik Biały,773 660,Starego Dębu,"76,6"
25,Prądnik Biały,773 862,Starego Dębu,"76,6"
26,Prądnik Biały,831 567,Piaskowa,"73,4"
27,Prądnik Biały,965 114,Piaskowa,"91,5"
28,Bronowice,1 395 000,Tetmajera,"128,0"
29,Bronowice,1 395 000,Tetmajera,"128,0"
30,Prądnik Biały,898 269,Łokietka,"82,4"
31,Prądnik Biały,898 269,Łokietka,"82,4"
32,Bronowice,574 630,Truszkowskiego,"45,3"
33,Bronowice,1 139 152,Truszkowskiego,"105,3"
34,Prądnik Biały,801 684,Pękowicka,"68,5"
35,Prądnik Biały,838 944,Pękowicka,"77,7"
36,Prądnik Biały,1 019 000,Łokietka,"89,8"
37,Prądnik Biały,1 749 000,Łokietka,"137,4"
38,Prądnik Biały,742 181,Bociana 8A,"67,0"
39,Prądnik Biały,1 049 433,Bociana 8A,"86,7"
40,Prądnik Biały,684 150,Kuźnicy Kołłątajowskiej,"45,6"
41,Prądnik Biały,837 896,Kuźnicy Kołłątajowskiej,"70,2"
42,Prądnik Biały,410 000,Pachońskiego,"31,4"
43,Prądnik Biały,850 000,Pachońskiego,"74,4"
44,Krowodrza,899 990,Składowa,"69,2"
45,Krowodrza,899 990,Składowa,"69,2"
46,Prądnik Biały,925 860,Pasteura,"71,3"
47,Prądnik Biały,925 860,Pasteura,"71,3"
48,Prądnik Biały,647 795,Sosnowiecka,"49,5"
49,Prądnik Biały,1 796 158,Sosnowiecka,"129,2"
50,Krowodrza,1 167 451,Odlewnicza,"85,1"
51,Krowodrza,1 899 000,Odlewnicza,"151,9"
