,Dzielnica,Cena,Ulica,Powierzchnia,Cena_za_m2,lat,lon
0,Prądnik Biały,440000,Pachońskiego,28.4,15492.96,50.0953964,19.9394998
1,Prądnik Biały,790000,Pachońskiego,71.5,11048.95,50.0953964,19.9394998
2,Prądnik Biały,493337,Glogera,35.6,13857.78,50.1042948,19.9264066
3,Prądnik Biały,995444,Glogera,74.4,13379.62,50.1042948,19.9264066
4,Prądnik Biały,398330,Conrada 27,26.5,15031.32,50.08735805,19.902285885949784
5,Prądnik Biały,1253380,Conrada 27,86.4,14506.71,50.08735805,19.902285885949784
6,Prądnik Biały,500000,Belwederczyków,33.0,15151.52,50.1074102,19.9635789
7,Prądnik Biały,800000,Belwederczyków,54.2,14760.15,50.1074102,19.9635789
8,Zwierzyniec,837135,Królowej Jadwigi 307,52.7,15884.91,50.0709735,19.8603277
9,Zwierzyniec,1716000,Królowej Jadwigi 307,118.3,14505.49,50.0709735,19.8603277
10,Bronowice,417600,Głowackiego,29.0,14400.0,50.0792994,19.9078835
11,Bronowice,1112500,Głowackiego,63.0,17658.73,50.0792994,19.9078835
12,Prądnik Biały,663810,Stawowa,40.5,16390.37,50.0958929,19.8878904
13,Prądnik Biały,1562568,Stawowa,73.7,21201.74,50.0958929,19.8878904
14,Zwierzyniec,1163005,Królowej Jadwigi 325,71.2,16334.34,50.07043285,19.85732329841341
15,Zwierzyniec,1607856,Królowej Jadwigi 325,98.0,16406.69,50.07043285,19.85732329841341
16,Bronowice,587600,Zapolskiej,28.3,20763.25,50.0766946,19.8980642
17,Bronowice,1621695,Zapolskiej,75.5,21479.4,50.0766946,19.8980642
18,Prądnik Biały,845658,Paszkowskiego,85.4,9902.32,50.1066002,19.9081988
19,Prądnik Biały,880704,Paszkowskiego,89.0,9895.55,50.1066002,19.9081988
20,Prądnik Biały,723000,Maciejkowa,65.8,10987.84,50.107243,19.8960084
21,Prądnik Biały,1230000,Maciejkowa,128.2,9594.38,50.107243,19.8960084
22,Prądnik Biały,890639,Gryczana,81.7,10901.33,50.1095715,19.9072634
23,Prądnik Biały,1353408,Gryczana,141.0,9598.64,50.1095715,19.9072634
24,Prądnik Biały,773660,Starego Dębu,76.6,10100.0,50.101904,19.8688625
25,Prądnik Biały,773862,Starego Dębu,76.6,10102.64,50.101904,19.8688625
26,Prądnik Biały,831567,Piaskowa,73.4,11329.25,50.0955487,19.8983779
27,Prądnik Biały,965114,Piaskowa,91.5,10547.69,50.0955487,19.8983779
28,Bronowice,1395000,Tetmajera,128.0,10898.44,50.09394855,19.864179582411168
29,Bronowice,1395000,Tetmajera,128.0,10898.44,50.09394855,19.864179582411168
30,Prądnik Biały,898269,Łokietka,82.4,10901.32,50.0811241,19.9265141
31,Prądnik Biały,898269,Łokietka,82.4,10901.32,50.0811241,19.9265141
32,Bronowice,574630,Truszkowskiego,45.3,12684.99,50.0918893,19.8716789
33,Bronowice,1139152,Truszkowskiego,105.3,10818.16,50.0918893,19.8716789
34,Prądnik Biały,801684,Pękowicka,68.5,11703.42,50.1077049,19.9131002
35,Prądnik Biały,838944,Pękowicka,77.7,10797.22,50.1077049,19.9131002
36,Prądnik Biały,1019000,Łokietka,89.8,11347.44,50.0811241,19.9265141
37,Prądnik Biały,1749000,Łokietka,137.4,12729.26,50.0811241,19.9265141
38,Prądnik Biały,742181,Bociana 8A,67.0,11077.33,50.0923296,19.9560406
39,Prądnik Biały,1049433,Bociana 8A,86.7,12104.19,50.0923296,19.9560406
40,Prądnik Biały,684150,Kuźnicy Kołłątajowskiej,45.6,15003.29,50.0979878,19.9602707
41,Prądnik Biały,837896,Kuźnicy Kołłątajowskiej,70.2,11935.84,50.0979878,19.9602707
42,Prądnik Biały,410000,Pachońskiego,31.4,13057.32,50.0953964,19.9394998
43,Prądnik Biały,850000,Pachońskiego,74.4,11424.73,50.0953964,19.9394998
44,Krowodrza,899990,Składowa,69.2,13005.64,50.0801614,19.9310223
45,Krowodrza,899990,Składowa,69.2,13005.64,50.0801614,19.9310223
46,Prądnik Biały,925860,Pasteura,71.3,12985.41,50.09780245,19.93393284242281
47,Prądnik Biały,925860,Pasteura,71.3,12985.41,50.09780245,19.93393284242281
48,Prądnik Biały,647795,Sosnowiecka,49.5,13086.77,50.0914527,19.8968624
49,Prądnik Biały,1796158,Sosnowiecka,129.2,13902.15,50.0914527,19.8968624
50,Krowodrza,1167451,Odlewnicza,85.1,13718.58,50.0703493,19.9000305
51,Krowodrza,1899000,Odlewnicza,151.9,12501.65,50.0703493,19.9000305
52,Prądnik Biały,760104,Pękowicka,55.1,13794.99,50.1077049,19.9131002
53,Prądnik Biały,1391040,Pękowicka,101.7,13677.88,50.1077049,19.9131002
54,Prądnik Biały,618320,Zauchy,41.9,14757.04,50.099854,19.9517717
55,Prądnik Biały,958464,Górka Narodowa,74.9,12796.58,50.0989029,19.9501387
56,Prądnik Biały,587209,Czerwieńskiego,39.4,14903.78,50.085623,19.9035541
57,Prądnik Biały,1100115,Czerwieńskiego,81.5,13498.34,50.085623,19.9035541
58,Prądnik Biały,624757,Zauchy,41.9,14910.67,50.099854,19.9517717
59,Prądnik Biały,1119350,Górka Narodowa,91.8,12193.36,50.0989029,19.9501387
60,Prądnik Biały,683509,Banacha,46.6,14667.58,50.1012502,19.96046711117409
61,Prądnik Biały,1083269,Banacha,86.1,12581.52,50.1012502,19.96046711117409
62,Prądnik Biały,918804,Pachońskiego,66.6,13795.86,50.0953964,19.9394998
63,Prądnik Biały,920322,Pachońskiego,66.7,13797.93,50.0953964,19.9394998
